lago,fecha,bloque_fila,bloque_columna,x,y,b03,b04,b05,b08,ndci,ndvi,ndwi,proporcion_agua,proporcion_tierra,proporcion_otro,chl_a_estimada,pixeles_validos,alta_cianobacteria,id_bloque
amatitlan,2025-01-28,1595,762,762500.0,1595500.0,0.07219288,0.055976678,0.08776984,0.2477802,0.24228713,0.6294003,-0.54090405,0.0,0.9964,0.0036,12.834091,2500,1,amatitlan_1595_762
amatitlan,2025-01-28,1595,763,763500.0,1595500.0,0.07190376,0.05804536,0.08371676,0.2185389,0.19725491,0.5774393,-0.49746212,0.0,0.9876,0.0124,9.123706,2500,0,amatitlan_1595_763
amatitlan,2025-01-28,1595,764,764500.0,1595500.0,0.073371194,0.0602182,0.082305245,0.1930644,0.17119227,0.48999444,-0.39543986,0.0692,0.9064,0.0244,8.513628,2500,0,amatitlan_1595_764
amatitlan,2025-01-28,1595,765,765500.0,1595500.0,0.05762232,0.03646012,0.05176356,0.13968928,0.16643392,0.45076334,-0.269251,0.216,0.776,0.008,8.410632,2500,0,amatitlan_1595_765
amatitlan,2025-01-28,1595,766,766500.0,1595500.0,0.060032677,0.03974044,0.06646008,0.2225278,0.25081488,0.67845523,-0.54836714,0.0036,0.9928,0.0036,12.466178,2500,1,amatitlan_1595_766
amatitlan,2025-01-28,1595,767,767500.0,1595500.0,0.05689472,0.03642072,0.06136648,0.20795263,0.2519521,0.6892029,-0.5467207,0.0,1.0,0.0,12.137259,2500,1,amatitlan_1595_767
amatitlan,2025-01-28,1595,768,768500.0,1595500.0,0.065408446,0.043044668,0.076678224,0.25408313,0.28319266,0.7066813,-0.5836355,0.0,1.0,0.0,15.211979,450,1,amatitlan_1595_768
amatitlan,2025-01-28,1596,754,754500.0,1596500.0,0.071980365,0.05823691,0.076801546,0.1924999,0.1596921,0.54001445,-0.44587958,0.0018181818181818182,0.9618181818181818,0.03636363636363636,7.3102612,1100,0,amatitlan_1596_754
amatitlan,2025-01-28,1596,755,755500.0,1596500.0,0.06947156,0.054733362,0.07437116,0.19183452,0.16736536,0.5541447,-0.45368126,0.002,0.9716,0.0264,7.7656217,2500,0,amatitlan_1596_755
amatitlan,2025-01-28,1596,756,756500.0,1596500.0,0.06669512,0.04932352,0.0731372,0.20587777,0.20304112,0.6089951,-0.49927378,0.0004,0.998,0.0016,9.040617,2500,0,amatitlan_1596_756
amatitlan,2025-01-28,1596,757,757500.0,1596500.0,0.074009836,0.05747572,0.082262,0.22835027,0.2032284,0.6032345,-0.50868267,0.0032,0.9716,0.0252,10.153127,2500,0,amatitlan_1596_757
amatitlan,2025-01-28,1596,758,758500.0,1596500.0,0.06467004,0.04411232,0.07146648,0.22790226,0.24244185,0.6698435,-0.55017304,0.0,0.998,0.002,11.775509,2500,0,amatitlan_1596_758
amatitlan,2025-01-28,1596,759,759500.0,1596500.0,0.06260624,0.04322252,0.06858332,0.20526499,0.2343861,0.64584273,-0.51986676,0.0012,0.9924,0.0064,11.324315,2500,0,amatitlan_1596_759
amatitlan,2025-01-28,1596,760,760500.0,1596500.0,0.062016718,0.04487104,0.06943208,0.19493145,0.22779016,0.62444353,-0.49844536,0.0048,0.994,0.0012,10.981792,2500,0,amatitlan_1596_760
amatitlan,2025-01-28,1596,761,761500.0,1596500.0,0.07002076,0.05499416,0.08592952,0.235125,0.23379709,0.6117691,-0.52866125,0.0,0.9996,0.0004,12.184273,2500,1,amatitlan_1596_761
amatitlan,2025-01-28,1596,762,762500.0,1596500.0,0.0756368,0.06464576,0.09299732,0.22452429,0.19844654,0.5489471,-0.48513716,0.0,0.9936,0.0064,9.952755,2500,0,amatitlan_1596_762
amatitlan,2025-01-28,1596,763,763500.0,1596500.0,0.08261516,0.06864812,0.092671,0.20526975,0.15185069,0.3972204,-0.30478427,0.1784,0.7848,0.0368,8.456229,2500,0,amatitlan_1596_763
amatitlan,2025-01-28,1596,764,764500.0,1596500.0,0.060174957,0.03483028,0.039094202,0.03384552,0.051070265,-0.17657098,0.4207,0.934,0.062,0.004,4.9380517,2500,0,amatitlan_1596_764
amatitlan,2025-01-28,1596,765,765500.0,1596500.0,0.05771024,0.03441808,0.040765837,0.0595872,0.066903934,-0.024864454,0.24613987,0.7528,0.2448,0.0024,5.6364493,2500,0,amatitlan_1596_765
amatitlan,2025-01-28,1596,766,766500.0,1596500.0,0.06390716,0.047425203,0.07460648,0.21069488,0.22814533,0.6221894,-0.5144728,0.0024,0.9964,0.0012,11.264589,2500,0,amatitlan_1596_766
amatitlan,2025-01-28,1596,767,767500.0,1596500.0,0.06384044,0.04489584,0.073688485,0.23148546,0.25173283,0.6692771,-0.5568423,0.0008,0.9932,0.006,13.299508,2500,1,amatitlan_1596_767
amatitlan,2025-01-28,1596,768,768500.0,1596500.0,0.05563578,0.033961553,0.058986668,0.18561444,0.26654634,0.68023443,-0.52357924,0.0,1.0,0.0,13.644345,450,1,amatitlan_1596_768
amatitlan,2025-01-28,1597,754,754500.0,1597500.0,0.13120127,0.13948345,0.14997064,0.21556501,0.06102786,0.2359833,-0.25145465,0.025454545454545455,0.4718181818181818,0.5027272727272727,5.065267,1100,0,amatitlan_1597_754
amatitlan,2025-01-28,1597,755,755500.0,1597500.0,0.11158416,0.1128178,0.12732108,0.20668344,0.076781474,0.29426384,-0.29392678,0.0172,0.636,0.3468,5.355759,2500,0,amatitlan_1597_755
amatitlan,2025-01-28,1597,756,756500.0,1597500.0,0.09065672,0.08970652,0.11081476,0.20400372,0.1275673,0.40225676,-0.3861947,0.0012,0.9008,0.098,6.720931,2500,0,amatitlan_1597_756
amatitlan,2025-01-28,1597,757,757500.0,1597500.0,0.06846028,0.0490518,0.074008726,0.21689041,0.21256985,0.62801707,-0.51076645,0.0004,0.9912,0.0084,9.49515,2500,0,amatitlan_1597_757
amatitlan,2025-01-28,1597,758,758500.0,1597500.0,0.07171192,0.05472384,0.08204092,0.22112744,0.2144294,0.5999553,-0.5029425,0.0,0.99,0.01,10.1582575,2500,0,amatitlan_1597_758
amatitlan,2025-01-28,1597,759,759500.0,1597500.0,0.067428365,0.048033882,0.074641556,0.2165369,0.23087037,0.6353643,-0.51950896,0.0,0.9808,0.0192,11.103859,2500,0,amatitlan_1597_759
amatitlan,2025-01-28,1597,760,760500.0,1597500.0,0.069441885,0.05283824,0.07814148,0.21810213,0.2031154,0.60294414,-0.50189245,0.0004,0.9876,0.012,9.435376,2500,0,amatitlan_1597_760
amatitlan,2025-01-28,1597,761,761500.0,1597500.0,0.07080176,0.057370037,0.07999472,0.19172631,0.18177298,0.54210204,-0.4478399,0.0008,0.9672,0.032,8.509939,2500,0,amatitlan_1597_761
amatitlan,2025-01-28,1597,762,762500.0,1597500.0,0.07645072,0.060919,0.08985536,0.2370272,0.21235706,0.5913384,-0.50580466,0.0,0.9688,0.0312,10.441133,2500,0,amatitlan_1597_762
amatitlan,2025-01-28,1597,763,763500.0,1597500.0,0.066140726,0.045005042,0.05343868,0.08446216,0.05794732,0.009535061,0.18013152,0.7004,0.2772,0.0224,5.722043,2500,0,amatitlan_1597_763
amatitlan,2025-01-28,1597,764,764500.0,1597500.0,0.05848624,0.032418482,0.03468272,0.01964024,0.033323847,-0.24606167,0.49772832,1.0,0.0,0.0,4.4962454,2500,0,amatitlan_1597_764
amatitlan,2025-01-28,1597,765,765500.0,1597500.0,0.05746588,0.03381492,0.041416362,0.06558372,0.08414679,0.0045395433,0.21725483,0.7016,0.2916,0.0068,6.2515845,2500,0,amatitlan_1597_765
amatitlan,2025-01-28,1597,766,766500.0,1597500.0,0.060828637,0.04446732,0.06791128,0.18607043,0.2135156,0.600836,-0.48068628,0.0084,0.9916,0.0,10.095372,2500,0,amatitlan_1597_766
amatitlan,2025-01-28,1597,767,767500.0,1597500.0,0.06678508,0.04669908,0.07543736,0.22121035,0.24746573,0.64712435,-0.52575946,0.0,0.9936,0.0064,13.239372,2500,1,amatitlan_1597_767
amatitlan,2025-01-28,1597,768,768500.0,1597500.0,0.06627,0.050296225,0.07811534,0.21768,0.22774075,0.6171884,-0.5200495,0.0,1.0,0.0,11.1395445,450,0,amatitlan_1597_768
