lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
amatitlan,2025-01-28,754650.0,1594650.0,0.028586932,4.2175846,108,0
amatitlan,2025-01-28,754950.0,1594650.0,0.017598609,4.1140313,135,0
amatitlan,2025-01-28,755250.0,1594650.0,0.062450416,5.1875668,135,0
amatitlan,2025-01-28,755550.0,1594650.0,0.18037094,8.61836,135,0
amatitlan,2025-01-28,755850.0,1594650.0,0.19571048,9.460658,135,0
amatitlan,2025-01-28,756150.0,1594650.0,0.16984159,8.63766,135,0
amatitlan,2025-01-28,756450.0,1594650.0,0.23568013,11.135629,135,0
amatitlan,2025-01-28,756750.0,1594650.0,0.24889103,12.288078,135,1
amatitlan,2025-01-28,757050.0,1594650.0,0.2219288,10.448816,135,0
amatitlan,2025-01-28,757350.0,1594650.0,0.21039988,9.816393,135,0
amatitlan,2025-01-28,757650.0,1594650.0,0.20725706,9.752838,135,0
amatitlan,2025-01-28,757950.0,1594650.0,0.1672452,7.090308,135,0
amatitlan,2025-01-28,758250.0,1594650.0,0.08308752,5.621076,135,0
amatitlan,2025-01-28,758550.0,1594650.0,0.1788726,9.248195,135,0
amatitlan,2025-01-28,758850.0,1594650.0,0.1942138,10.434036,135,0
amatitlan,2025-01-28,759150.0,1594650.0,0.24643445,12.462865,135,1
amatitlan,2025-01-28,759450.0,1594650.0,0.12666218,8.611412,135,0
amatitlan,2025-01-28,759750.0,1594650.0,-0.03577689,3.100675,135,0
amatitlan,2025-01-28,760050.0,1594650.0,0.09965122,8.365603,135,0
amatitlan,2025-01-28,760350.0,1594650.0,0.2762777,16.14252,135,1
amatitlan,2025-01-28,760650.0,1594650.0,0.32832396,22.956915,135,1
amatitlan,2025-01-28,760950.0,1594650.0,0.32975346,22.64975,135,1
amatitlan,2025-01-28,761250.0,1594650.0,0.23860323,13.462562,135,1
amatitlan,2025-01-28,761550.0,1594650.0,0.2803707,16.327627,135,1
amatitlan,2025-01-28,761850.0,1594650.0,0.21655291,12.42819,135,1
amatitlan,2025-01-28,762150.0,1594650.0,0.22917251,11.33534,135,0
amatitlan,2025-01-28,762450.0,1594650.0,0.27353925,15.131518,135,1
amatitlan,2025-01-28,762750.0,1594650.0,0.24453622,12.449169,135,1
amatitlan,2025-01-28,763050.0,1594650.0,0.26776043,13.143011,135,1
amatitlan,2025-01-28,763350.0,1594650.0,0.26053482,12.394282,135,1
amatitlan,2025-01-28,763650.0,1594650.0,0.26927003,13.237674,135,1
amatitlan,2025-01-28,763950.0,1594650.0,0.22015327,9.885345,135,0
amatitlan,2025-01-28,764250.0,1594650.0,0.18838133,8.147349,135,0
amatitlan,2025-01-28,764550.0,1594650.0,0.23336641,12.897012,135,1
amatitlan,2025-01-28,764850.0,1594650.0,0.23904693,12.533438,135,1
amatitlan,2025-01-28,765150.0,1594650.0,0.2670139,14.343556,135,1
amatitlan,2025-01-28,765450.0,1594650.0,0.2343434,12.22586,135,1
amatitlan,2025-01-28,765750.0,1594650.0,0.24354449,12.877368,135,1
amatitlan,2025-01-28,766050.0,1594650.0,0.20841426,11.082713,135,0
amatitlan,2025-01-28,766350.0,1594650.0,0.28646705,15.857657,135,1
amatitlan,2025-01-28,766650.0,1594650.0,0.29162687,16.728405,135,1
amatitlan,2025-01-28,766950.0,1594650.0,0.26427808,14.110787,135,1
amatitlan,2025-01-28,767250.0,1594650.0,0.32757723,22.157476,135,1
amatitlan,2025-01-28,767550.0,1594650.0,0.2901601,18.140697,135,1
amatitlan,2025-01-28,767850.0,1594650.0,0.32985982,21.480165,135,1
amatitlan,2025-01-28,768150.0,1594650.0,0.24692851,13.088434,81,1
amatitlan,2025-01-28,754650.0,1594950.0,0.07365152,5.900829,180,0
amatitlan,2025-01-28,754950.0,1594950.0,0.022631966,4.675569,225,0
amatitlan,2025-01-28,755250.0,1594950.0,0.15662025,9.141412,225,0
amatitlan,2025-01-28,755550.0,1594950.0,0.18928894,9.762114,225,0
amatitlan,2025-01-28,755850.0,1594950.0,0.21541789,10.342263,225,0
amatitlan,2025-01-28,756150.0,1594950.0,0.21578535,9.935443,225,0
amatitlan,2025-01-28,756450.0,1594950.0,0.23497967,11.217064,225,0
amatitlan,2025-01-28,756750.0,1594950.0,0.21474184,9.525468,225,0
amatitlan,2025-01-28,757050.0,1594950.0,0.20847997,9.419427,225,0
