lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
amatitlan,2026-02-07,754650.0,1594650.0,0.055337757,5.017463,108,0
amatitlan,2026-02-07,754950.0,1594650.0,0.039563306,4.575024,135,0
amatitlan,2026-02-07,755250.0,1594650.0,0.08559301,5.967319,135,0
amatitlan,2026-02-07,755550.0,1594650.0,0.22535573,12.849338,135,1
amatitlan,2026-02-07,755850.0,1594650.0,0.23617144,13.925359,135,1
amatitlan,2026-02-07,756150.0,1594650.0,0.21503109,11.862368,135,0
amatitlan,2026-02-07,756450.0,1594650.0,0.29734924,17.833595,135,1
amatitlan,2026-02-07,756750.0,1594650.0,0.31062672,19.577343,135,1
amatitlan,2026-02-07,757050.0,1594650.0,0.2998976,18.890795,135,1
amatitlan,2026-02-07,757350.0,1594650.0,0.28739193,18.936695,135,1
amatitlan,2026-02-07,757650.0,1594650.0,0.23690465,13.076949,135,1
amatitlan,2026-02-07,757950.0,1594650.0,0.19645557,9.264921,135,0
amatitlan,2026-02-07,758250.0,1594650.0,0.13079444,7.871712,135,0
amatitlan,2026-02-07,758550.0,1594650.0,0.2233109,12.32771,135,1
amatitlan,2026-02-07,758850.0,1594650.0,0.23426361,14.4582,135,1
amatitlan,2026-02-07,759150.0,1594650.0,0.29073444,18.6766,135,1
amatitlan,2026-02-07,759450.0,1594650.0,0.15511605,10.755258,135,0
amatitlan,2026-02-07,759750.0,1594650.0,-0.0069012246,3.916063,135,0
amatitlan,2026-02-07,760050.0,1594650.0,0.1156332,8.781965,135,0
amatitlan,2026-02-07,760350.0,1594650.0,0.31006303,21.768522,135,1
amatitlan,2026-02-07,760650.0,1594650.0,0.34801853,26.035065,135,1
amatitlan,2026-02-07,760950.0,1594650.0,0.33827737,23.397306,135,1
amatitlan,2026-02-07,761250.0,1594650.0,0.2870434,21.524063,135,1
amatitlan,2026-02-07,761550.0,1594650.0,0.34653133,29.00293,135,1
amatitlan,2026-02-07,761850.0,1594650.0,0.25994998,15.899338,135,1
amatitlan,2026-02-07,762150.0,1594650.0,0.24373816,12.958465,135,1
amatitlan,2026-02-07,762450.0,1594650.0,0.3232793,22.332817,135,1
amatitlan,2026-02-07,762750.0,1594650.0,0.29658067,18.330011,135,1
amatitlan,2026-02-07,763050.0,1594650.0,0.31659025,19.58166,135,1
amatitlan,2026-02-07,763350.0,1594650.0,0.30736542,18.026484,135,1
amatitlan,2026-02-07,763650.0,1594650.0,0.32599175,21.102514,135,1
amatitlan,2026-02-07,763950.0,1594650.0,0.28201756,15.792077,135,1
amatitlan,2026-02-07,764250.0,1594650.0,0.25106898,12.539533,135,1
amatitlan,2026-02-07,764550.0,1594650.0,0.28754655,19.433212,135,1
amatitlan,2026-02-07,764850.0,1594650.0,0.2952984,20.038054,135,1
amatitlan,2026-02-07,765150.0,1594650.0,0.33238772,23.18544,135,1
amatitlan,2026-02-07,765450.0,1594650.0,0.30160907,19.967367,135,1
amatitlan,2026-02-07,765750.0,1594650.0,0.35785648,34.476234,135,1
amatitlan,2026-02-07,766050.0,1594650.0,0.26061523,17.289454,135,1
amatitlan,2026-02-07,766350.0,1594650.0,0.3521391,27.11505,135,1
amatitlan,2026-02-07,766650.0,1594650.0,0.3624326,28.807827,135,1
amatitlan,2026-02-07,766950.0,1594650.0,0.32827374,22.670609,135,1
amatitlan,2026-02-07,767250.0,1594650.0,0.37329656,32.3369,135,1
amatitlan,2026-02-07,767550.0,1594650.0,0.32333001,25.174728,135,1
amatitlan,2026-02-07,767850.0,1594650.0,0.38086694,32.409737,135,1
amatitlan,2026-02-07,768150.0,1594650.0,0.2990242,18.801146,81,1
amatitlan,2026-02-07,754650.0,1594950.0,0.098756745,7.612695,180,0
amatitlan,2026-02-07,754950.0,1594950.0,0.043427646,5.0841804,225,0
amatitlan,2026-02-07,755250.0,1594950.0,0.1858,12.209706,225,1
amatitlan,2026-02-07,755550.0,1594950.0,0.22761995,13.456393,225,1
amatitlan,2026-02-07,755850.0,1594950.0,0.26370272,15.807764,225,1
amatitlan,2026-02-07,756150.0,1594950.0,0.26399788,14.8146515,225,1
amatitlan,2026-02-07,756450.0,1594950.0,0.26569483,14.907216,225,1
amatitlan,2026-02-07,756750.0,1594950.0,0.2636725,14.171187,225,1
amatitlan,2026-02-07,757050.0,1594950.0,0.27989328,16.119492,225,1
amatitlan,2026-02-07,757350.0,1594950.0,0.26807654,16.984953,225,1
amatitlan,2026-02-07,757650.0,1594950.0,0.2726174,17.566303,225,1
amatitlan,2026-02-07,757950.0,1594950.0,0.26115277,14.040953,225,1
amatitlan,2026-02-07,758250.0,1594950.0,0.13876314,7.7699604,225,0
amatitlan,2026-02-07,758550.0,1594950.0,0.24919823,16.407078,225,1
amatitlan,2026-02-07,758850.0,1594950.0,0.20848657,13.252692,225,1
amatitlan,2026-02-07,759150.0,1594950.0,0.32606885,24.29829,225,1
amatitlan,2026-02-07,759450.0,1594950.0,0.3012803,25.423176,225,1
amatitlan,2026-02-07,759750.0,1594950.0,0.20180298,17.458038,225,1
amatitlan,2026-02-07,760050.0,1594950.0,0.28296176,19.791155,225,1
amatitlan,2026-02-07,760350.0,1594950.0,0.30479765,21.358683,225,1
amatitlan,2026-02-07,760650.0,1594950.0,0.21028596,12.737598,225,1
amatitlan,2026-02-07,760950.0,1594950.0,0.29656336,17.906958,225,1
amatitlan,2026-02-07,761250.0,1594950.0,0.30503333,24.60679,225,1
amatitlan,2026-02-07,761550.0,1594950.0,0.27934614,21.422731,225,1
amatitlan,2026-02-07,761850.0,1594950.0,0.27385703,17.40507,225,1
amatitlan,2026-02-07,762150.0,1594950.0,0.30333373,18.611408,225,1
amatitlan,2026-02-07,762450.0,1594950.0,0.28340724,18.332699,225,1
amatitlan,2026-02-07,762750.0,1594950.0,0.30278674,18.569649,225,1
amatitlan,2026-02-07,763050.0,1594950.0,0.31279862,19.18633,225,1
