lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
atitlan,2025-01-18,680250.0,1614150.0,0.3371352,23.020262,84,1
atitlan,2025-01-18,680550.0,1614150.0,0.3414225,24.857826,105,1
atitlan,2025-01-18,680850.0,1614150.0,0.35885176,27.823606,105,1
atitlan,2025-01-18,681150.0,1614150.0,0.3301042,22.68461,105,1
atitlan,2025-01-18,681450.0,1614150.0,0.33442524,22.718185,105,1
atitlan,2025-01-18,681750.0,1614150.0,0.31534258,19.38231,105,1
atitlan,2025-01-18,682050.0,1614150.0,0.3129675,19.879292,105,1
atitlan,2025-01-18,682350.0,1614150.0,0.35023078,25.465223,105,1
atitlan,2025-01-18,682650.0,1614150.0,0.34973738,25.319815,105,1
atitlan,2025-01-18,682950.0,1614150.0,0.2733744,15.6171465,105,1
atitlan,2025-01-18,683250.0,1614150.0,0.31138432,19.987858,105,1
atitlan,2025-01-18,683550.0,1614150.0,0.2863386,22.986942,105,1
atitlan,2025-01-18,683850.0,1614150.0,0.317964,20.281439,105,1
atitlan,2025-01-18,684150.0,1614150.0,0.28917903,16.998058,105,1
atitlan,2025-01-18,684450.0,1614150.0,0.32677084,21.601183,105,1
atitlan,2025-01-18,684750.0,1614150.0,0.35247615,26.150846,105,1
atitlan,2025-01-18,685050.0,1614150.0,0.3541669,27.040016,105,1
atitlan,2025-01-18,685350.0,1614150.0,0.36862168,29.538843,105,1
atitlan,2025-01-18,685650.0,1614150.0,0.36025012,27.651274,105,1
atitlan,2025-01-18,685950.0,1614150.0,0.34800172,25.42645,105,1
atitlan,2025-01-18,686250.0,1614150.0,0.35149348,25.949913,105,1
atitlan,2025-01-18,686550.0,1614150.0,0.33248416,23.02901,105,1
atitlan,2025-01-18,686850.0,1614150.0,0.34619457,25.026789,105,1
atitlan,2025-01-18,687150.0,1614150.0,0.33465925,23.285213,105,1
atitlan,2025-01-18,687450.0,1614150.0,0.32510293,22.23663,105,1
atitlan,2025-01-18,687750.0,1614150.0,0.35387254,26.291119,105,1
atitlan,2025-01-18,688050.0,1614150.0,0.32284403,21.474907,105,1
atitlan,2025-01-18,688350.0,1614150.0,0.14929079,8.409149,105,0
atitlan,2025-01-18,688650.0,1614150.0,0.22197317,13.649107,105,1
atitlan,2025-01-18,688950.0,1614150.0,0.3406322,25.792492,105,1
atitlan,2025-01-18,689250.0,1614150.0,0.32057035,22.616266,105,1
atitlan,2025-01-18,689550.0,1614150.0,0.33769536,23.633991,105,1
atitlan,2025-01-18,689850.0,1614150.0,0.31920198,21.555868,105,1
atitlan,2025-01-18,690150.0,1614150.0,0.3146246,20.877615,105,1
atitlan,2025-01-18,690450.0,1614150.0,0.30525148,20.187351,105,1
atitlan,2025-01-18,690750.0,1614150.0,0.3052579,19.80527,105,1
atitlan,2025-01-18,691050.0,1614150.0,0.32494524,22.078999,105,1
atitlan,2025-01-18,691350.0,1614150.0,0.30149382,17.524153,105,1
atitlan,2025-01-18,691650.0,1614150.0,0.27344003,13.845174,105,1
atitlan,2025-01-18,691950.0,1614150.0,0.2623381,12.703767,105,1
atitlan,2025-01-18,692250.0,1614150.0,0.27659005,14.834742,105,1
atitlan,2025-01-18,692550.0,1614150.0,0.2649715,12.978554,105,1
atitlan,2025-01-18,692850.0,1614150.0,0.2753051,13.786099,105,1
atitlan,2025-01-18,693150.0,1614150.0,0.28347683,15.126147,105,1
