lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
atitlan,2026-03-24,680250.0,1614150.0,0.1302435,6.9061956,84,0
atitlan,2026-03-24,680550.0,1614150.0,0.27534184,13.773616,105,1
atitlan,2026-03-24,680850.0,1614150.0,0.29093334,15.427889,105,1
atitlan,2026-03-24,681150.0,1614150.0,0.27104762,13.157504,105,1
atitlan,2026-03-24,681450.0,1614150.0,0.2728536,13.513192,105,1
atitlan,2026-03-24,681750.0,1614150.0,0.25307742,11.580747,105,0
atitlan,2026-03-24,682050.0,1614150.0,0.2489432,11.817629,105,0
atitlan,2026-03-24,682350.0,1614150.0,0.29566628,16.062603,105,1
atitlan,2026-03-24,682650.0,1614150.0,0.29765058,16.302523,105,1
atitlan,2026-03-24,682950.0,1614150.0,0.25979605,12.483323,105,1
atitlan,2026-03-24,683250.0,1614150.0,0.2618158,12.351129,105,1
atitlan,2026-03-24,683550.0,1614150.0,0.26559204,14.039242,105,1
atitlan,2026-03-24,683850.0,1614150.0,0.29032025,15.331799,105,1
atitlan,2026-03-24,684150.0,1614150.0,0.27393413,13.52451,105,1
atitlan,2026-03-24,684450.0,1614150.0,0.2935267,15.679853,105,1
atitlan,2026-03-24,684750.0,1614150.0,0.22483829,10.851234,105,0
atitlan,2026-03-24,685050.0,1614150.0,0.19802539,8.572311,105,0
atitlan,2026-03-24,685350.0,1614150.0,0.08295408,5.5803604,105,0
atitlan,2026-03-24,685650.0,1614150.0,0.14838427,7.7514777,105,0
atitlan,2026-03-24,685950.0,1614150.0,0.296464,16.149715,105,1
atitlan,2026-03-24,686250.0,1614150.0,0.29004622,15.400979,105,1
atitlan,2026-03-24,686550.0,1614150.0,0.2977142,16.19861,105,1
atitlan,2026-03-24,686850.0,1614150.0,0.2931972,15.779028,105,1
atitlan,2026-03-24,687150.0,1614150.0,0.29193676,15.473159,105,1
atitlan,2026-03-24,687450.0,1614150.0,0.2975546,16.400488,105,1
atitlan,2026-03-24,687750.0,1614150.0,0.2629793,13.243218,105,1
atitlan,2026-03-24,688050.0,1614150.0,0.068924576,5.1285577,105,0
atitlan,2026-03-24,688350.0,1614150.0,0.06698498,4.8615904,105,0
atitlan,2026-03-24,688650.0,1614150.0,0.07444304,5.069097,105,0
atitlan,2026-03-24,688950.0,1614150.0,0.17184326,9.949257,105,0
atitlan,2026-03-24,689250.0,1614150.0,0.27724022,15.487256,105,1
atitlan,2026-03-24,689550.0,1614150.0,0.29831934,16.815363,105,1
atitlan,2026-03-24,689850.0,1614150.0,0.27665588,14.266976,105,1
atitlan,2026-03-24,690150.0,1614150.0,0.23674972,11.062773,105,0
atitlan,2026-03-24,690450.0,1614150.0,0.23481669,12.3482275,105,1
atitlan,2026-03-24,690750.0,1614150.0,0.25356406,12.4755335,105,1
atitlan,2026-03-24,691050.0,1614150.0,0.2836709,15.766914,105,1
atitlan,2026-03-24,691350.0,1614150.0,0.24428909,12.628785,105,1
