lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
amatitlan,2025-04-15,754650.0,1594650.0,0.048501924,4.6113977,108,0
amatitlan,2025-04-15,754950.0,1594650.0,0.03454477,4.365614,135,0
amatitlan,2025-04-15,755250.0,1594650.0,0.0706969,5.3596673,135,0
amatitlan,2025-04-15,755550.0,1594650.0,0.16293389,7.7336307,135,0
amatitlan,2025-04-15,755850.0,1594650.0,0.1836256,11.18537,135,0
amatitlan,2025-04-15,756150.0,1594650.0,0.1585806,7.77792,135,0
amatitlan,2025-04-15,756450.0,1594650.0,0.22412318,9.863269,135,0
amatitlan,2025-04-15,756750.0,1594650.0,0.24887562,11.672382,135,0
amatitlan,2025-04-15,757050.0,1594650.0,0.23795192,11.1287155,135,0
amatitlan,2025-04-15,757350.0,1594650.0,0.2295668,11.556041,135,0
amatitlan,2025-04-15,757650.0,1594650.0,0.19418424,10.075879,135,0
amatitlan,2025-04-15,757950.0,1594650.0,0.13183886,6.2486234,135,0
amatitlan,2025-04-15,758250.0,1594650.0,0.102673516,5.878039,135,0
amatitlan,2025-04-15,758550.0,1594650.0,0.191567,12.601897,135,1
amatitlan,2025-04-15,758850.0,1594650.0,0.18918619,10.82822,135,0
amatitlan,2025-04-15,759150.0,1594650.0,0.24218385,12.658734,135,1
amatitlan,2025-04-15,759450.0,1594650.0,0.10620486,6.7878094,135,0
amatitlan,2025-04-15,759750.0,1594650.0,-0.024540411,3.373572,135,0
amatitlan,2025-04-15,760050.0,1594650.0,0.072749384,5.886048,135,0
amatitlan,2025-04-15,760350.0,1594650.0,0.26560718,15.657255,135,1
amatitlan,2025-04-15,760650.0,1594650.0,0.26529655,13.097108,135,1
amatitlan,2025-04-15,760950.0,1594650.0,0.22374287,9.800327,135,0
amatitlan,2025-04-15,761250.0,1594650.0,0.22730112,12.990195,135,1
amatitlan,2025-04-15,761550.0,1594650.0,0.28480405,18.16018,135,1
amatitlan,2025-04-15,761850.0,1594650.0,0.21564561,12.456314,135,1
amatitlan,2025-04-15,762150.0,1594650.0,0.18811841,9.079523,135,0
amatitlan,2025-04-15,762450.0,1594650.0,0.27297598,15.228534,135,1
amatitlan,2025-04-15,762750.0,1594650.0,0.21691172,10.123373,135,0
amatitlan,2025-04-15,763050.0,1594650.0,0.2207313,9.465139,135,0
amatitlan,2025-04-15,763350.0,1594650.0,0.20944864,8.6979475,135,0
amatitlan,2025-04-15,763650.0,1594650.0,0.25146735,11.823942,135,0
amatitlan,2025-04-15,763950.0,1594650.0,0.26699924,13.726466,135,1
amatitlan,2025-04-15,764250.0,1594650.0,0.27277106,14.501154,135,1
amatitlan,2025-04-15,764550.0,1594650.0,0.253413,16.406656,135,1
amatitlan,2025-04-15,764850.0,1594650.0,0.25231192,14.723386,135,1
