lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
amatitlan,2026-06-19,754650.0,1594650.0,0.055116978,4.8470135,108,0
amatitlan,2026-06-19,754950.0,1594650.0,0.035747748,4.473637,135,0
amatitlan,2026-06-19,755250.0,1594650.0,0.093450986,6.071328,135,0
amatitlan,2026-06-19,755550.0,1594650.0,0.21423818,10.467099,135,0
amatitlan,2026-06-19,755850.0,1594650.0,0.24039702,12.1642885,135,1
amatitlan,2026-06-19,756150.0,1594650.0,0.22761208,10.402612,135,0
amatitlan,2026-06-19,756450.0,1594650.0,0.24725875,11.114336,135,0
amatitlan,2026-06-19,756750.0,1594650.0,0.25508747,11.753966,135,0
amatitlan,2026-06-19,757050.0,1594650.0,0.24606329,11.460735,135,0
amatitlan,2026-06-19,757350.0,1594650.0,0.2708483,13.985499,135,1
amatitlan,2026-06-19,757650.0,1594650.0,0.28477103,15.672466,135,1
amatitlan,2026-06-19,757950.0,1594650.0,0.24325082,10.984667,135,0
amatitlan,2026-06-19,758250.0,1594650.0,0.27407527,14.957275,135,1
amatitlan,2026-06-19,758550.0,1594650.0,0.31267998,20.75065,135,1
amatitlan,2026-06-19,758850.0,1594650.0,0.2790399,15.643807,135,1
amatitlan,2026-06-19,759150.0,1594650.0,0.2987992,19.175482,135,1
amatitlan,2026-06-19,759450.0,1594650.0,0.1496741,10.734135,135,0
amatitlan,2026-06-19,759750.0,1594650.0,-0.020553641,3.4956903,135,0
amatitlan,2026-06-19,760050.0,1594650.0,0.092693985,8.410026,135,0
amatitlan,2026-06-19,760350.0,1594650.0,0.31239727,21.427616,135,1
amatitlan,2026-06-19,760650.0,1594650.0,0.3429642,24.681519,135,1
amatitlan,2026-06-19,760950.0,1594650.0,0.3777558,31.445711,135,1
amatitlan,2026-06-19,761250.0,1594650.0,0.27390987,16.559935,135,1
amatitlan,2026-06-19,761550.0,1594650.0,0.3492986,28.57904,135,1
amatitlan,2026-06-19,761850.0,1594650.0,0.25059724,16.592775,135,1
amatitlan,2026-06-19,762150.0,1594650.0,0.3108588,21.593506,135,1
amatitlan,2026-06-19,762450.0,1594650.0,0.33096153,23.511639,135,1
amatitlan,2026-06-19,762750.0,1594650.0,0.33552778,25.638432,135,1
amatitlan,2026-06-19,763050.0,1594650.0,0.3383794,23.079685,135,1
amatitlan,2026-06-19,763350.0,1594650.0,0.35065854,25.460342,135,1
amatitlan,2026-06-19,763650.0,1594650.0,0.35560334,26.094343,135,1
amatitlan,2026-06-19,763950.0,1594650.0,0.36939466,29.462801,135,1
amatitlan,2026-06-19,764250.0,1594650.0,0.3294938,22.100554,135,1
amatitlan,2026-06-19,764550.0,1594650.0,0.307062,24.103115,135,1
