lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
amatitlan,2025-04-28,754650.0,1594650.0,0.046033747,4.5121746,108,0
amatitlan,2025-04-28,754950.0,1594650.0,0.030949624,4.2480865,135,0
amatitlan,2025-04-28,755250.0,1594650.0,0.0667886,5.13499,135,0
amatitlan,2025-04-28,755550.0,1594650.0,0.15949549,7.706967,135,0
amatitlan,2025-04-28,755850.0,1594650.0,0.18413329,12.538754,135,1
amatitlan,2025-04-28,756150.0,1594650.0,0.15333739,7.867401,135,0
amatitlan,2025-04-28,756450.0,1594650.0,0.21879078,9.616713,135,0
amatitlan,2025-04-28,756750.0,1594650.0,0.24429435,11.437644,135,0
amatitlan,2025-04-28,757050.0,1594650.0,0.22185723,10.036182,135,0
amatitlan,2025-04-28,757350.0,1594650.0,0.21083963,9.974529,135,0
amatitlan,2025-04-28,757650.0,1594650.0,0.17718956,9.282092,135,0
amatitlan,2025-04-28,757950.0,1594650.0,0.11642966,5.990441,135,0
amatitlan,2025-04-28,758250.0,1594650.0,0.10242136,5.7955866,135,0
amatitlan,2025-04-28,758550.0,1594650.0,0.17442961,10.699625,135,0
amatitlan,2025-04-28,758850.0,1594650.0,0.17050633,9.571703,135,0
amatitlan,2025-04-28,759150.0,1594650.0,0.19873457,9.4476185,135,0
amatitlan,2025-04-28,759450.0,1594650.0,0.09324302,6.0307083,135,0
amatitlan,2025-04-28,759750.0,1594650.0,-0.03133788,3.121565,135,0
amatitlan,2025-04-28,760050.0,1594650.0,0.065535225,5.274579,135,0
amatitlan,2025-04-28,760350.0,1594650.0,0.24350725,13.196118,135,1
amatitlan,2025-04-28,760650.0,1594650.0,0.24524525,11.093956,135,0
amatitlan,2025-04-28,760950.0,1594650.0,0.20475562,8.51213,135,0
amatitlan,2025-04-28,761250.0,1594650.0,0.20060852,10.541903,135,0
amatitlan,2025-04-28,761550.0,1594650.0,0.25665575,14.204234,135,1
amatitlan,2025-04-28,761850.0,1594650.0,0.19755483,10.404971,135,0
amatitlan,2025-04-28,762150.0,1594650.0,0.1684134,7.8519087,135,0
amatitlan,2025-04-28,762450.0,1594650.0,0.24521703,12.037373,135,1
amatitlan,2025-04-28,762750.0,1594650.0,0.20461157,9.113395,135,0
amatitlan,2025-04-28,763050.0,1594650.0,0.19355687,7.8934307,135,0
amatitlan,2025-04-28,763350.0,1594650.0,0.18412928,7.442724,135,0
amatitlan,2025-04-28,763650.0,1594650.0,0.22682326,9.873027,135,0
amatitlan,2025-04-28,763950.0,1594650.0,0.2511367,12.228021,135,1
amatitlan,2025-04-28,764250.0,1594650.0,0.26262465,13.340373,135,1
amatitlan,2025-04-28,764550.0,1594650.0,0.24374466,14.804339,135,1
amatitlan,2025-04-28,764850.0,1594650.0,0.2465524,14.265581,135,1
amatitlan,2025-04-28,765150.0,1594650.0,0.33286184,22.454319,135,1
amatitlan,2025-04-28,765450.0,1594650.0,0.26069868,15.650467,135,1
amatitlan,2025-04-28,765750.0,1594650.0,0.24688402,12.459404,135,1
amatitlan,2025-04-28,766050.0,1594650.0,0.18963173,9.817832,135,0
amatitlan,2025-04-28,766350.0,1594650.0,0.29147556,16.90584,135,1
amatitlan,2025-04-28,766650.0,1594650.0,0.33423382,22.760677,135,1
amatitlan,2025-04-28,766950.0,1594650.0,0.34213966,23.634424,135,1
amatitlan,2025-04-28,767250.0,1594650.0,0.3167008,20.973692,135,1
amatitlan,2025-04-28,767550.0,1594650.0,0.18278722,11.3823595,135,0
amatitlan,2025-04-28,767850.0,1594650.0,0.2947971,16.461252,135,1
amatitlan,2025-04-28,768150.0,1594650.0,0.21045008,9.602279,81,0
amatitlan,2025-04-28,754650.0,1594950.0,0.08055736,6.1962585,180,0
amatitlan,2025-04-28,754950.0,1594950.0,0.03595254,4.7022495,225,0
amatitlan,2025-04-28,755250.0,1594950.0,0.14225936,7.768197,225,0
amatitlan,2025-04-28,755550.0,1594950.0,0.16407226,8.25678,225,0
amatitlan,2025-04-28,755850.0,1594950.0,0.20058084,9.4425535,225,0
amatitlan,2025-04-28,756150.0,1594950.0,0.17132099,7.674683,225,0
amatitlan,2025-04-28,756450.0,1594950.0,0.1944279,8.898559,225,0
amatitlan,2025-04-28,756750.0,1594950.0,0.19740003,8.402427,225,0
amatitlan,2025-04-28,757050.0,1594950.0,0.20205542,8.995206,225,0
amatitlan,2025-04-28,757350.0,1594950.0,0.18752903,8.355695,225,0
amatitlan,2025-04-28,757650.0,1594950.0,0.19219062,9.495026,225,0
amatitlan,2025-04-28,757950.0,1594950.0,0.17741743,7.60695,225,0
amatitlan,2025-04-28,758250.0,1594950.0,0.11620933,6.2455144,225,0
amatitlan,2025-04-28,758550.0,1594950.0,0.20371908,11.253475,225,0
amatitlan,2025-04-28,758850.0,1594950.0,0.15007462,7.8574376,225,0
amatitlan,2025-04-28,759150.0,1594950.0,0.22849162,11.196597,225,0
amatitlan,2025-04-28,759450.0,1594950.0,0.20382813,10.840995,225,0
amatitlan,2025-04-28,759750.0,1594950.0,0.11238781,7.066973,225,0
amatitlan,2025-04-28,760050.0,1594950.0,0.21406232,11.122384,225,0
amatitlan,2025-04-28,760350.0,1594950.0,0.24174426,12.986338,225,1
amatitlan,2025-04-28,760650.0,1594950.0,0.13379253,7.246413,225,0
amatitlan,2025-04-28,760950.0,1594950.0,0.16042897,8.488678,225,0
amatitlan,2025-04-28,761250.0,1594950.0,0.21194841,11.499636,225,0
amatitlan,2025-04-28,761550.0,1594950.0,0.1951172,11.069761,225,0
amatitlan,2025-04-28,761850.0,1594950.0,0.18358882,8.6013155,225,0
amatitlan,2025-04-28,762150.0,1594950.0,0.21320322,9.817304,225,0
amatitlan,2025-04-28,762450.0,1594950.0,0.20852639,10.144178,225,0
amatitlan,2025-04-28,762750.0,1594950.0,0.21534547,9.257248,225,0
amatitlan,2025-04-28,763050.0,1594950.0,0.20183949,8.749805,225,0
amatitlan,2025-04-28,763350.0,1594950.0,0.21115063,9.253396,225,0
amatitlan,2025-04-28,763650.0,1594950.0,0.22385491,10.313527,225,0
amatitlan,2025-04-28,763950.0,1594950.0,0.19725783,9.160273,225,0
amatitlan,2025-04-28,764250.0,1594950.0,0.13393681,7.0924706,225,0
amatitlan,2025-04-28,764550.0,1594950.0,0.23826282,11.606182,225,0
amatitlan,2025-04-28,764850.0,1594950.0,0.2681493,14.684336,225,1
amatitlan,2025-04-28,765150.0,1594950.0,0.27729464,15.310404,225,1
amatitlan,2025-04-28,765450.0,1594950.0,0.25976384,13.678646,225,1
amatitlan,2025-04-28,765750.0,1594950.0,0.22765025,12.196503,225,1
amatitlan,2025-04-28,766050.0,1594950.0,0.22443989,12.412131,225,1
amatitlan,2025-04-28,766350.0,1594950.0,0.27787924,15.739233,225,1
amatitlan,2025-04-28,766650.0,1594950.0,0.3052439,19.573915,225,1
amatitlan,2025-04-28,766950.0,1594950.0,0.30902782,18.820086,225,1
amatitlan,2025-04-28,767250.0,1594950.0,0.3035466,20.758453,225,1
amatitlan,2025-04-28,767550.0,1594950.0,0.20277631,9.833071,225,0
amatitlan,2025-04-28,767850.0,1594950.0,0.28692722,15.803285,225,1
amatitlan,2025-04-28,768150.0,1594950.0,0.2532289,12.817111,135,1
amatitlan,2025-04-28,754650.0,1595250.0,0.1342947,7.0867085,180,0
amatitlan,2025-04-28,754950.0,1595250.0,0.038871758,4.4534407,225,0
amatitlan,2025-04-28,755250.0,1595250.0,0.13265847,7.1785975,225,0
amatitlan,2025-04-28,755550.0,1595250.0,0.16683884,7.785578,225,0
amatitlan,2025-04-28,755850.0,1595250.0,0.1857593,8.360125,225,0
amatitlan,2025-04-28,756150.0,1595250.0,0.18457389,8.572912,225,0
amatitlan,2025-04-28,756450.0,1595250.0,0.21722014,9.580974,225,0
amatitlan,2025-04-28,756750.0,1595250.0,0.16300434,7.2693753,225,0
amatitlan,2025-04-28,757050.0,1595250.0,0.20238313,8.9921,225,0
amatitlan,2025-04-28,757350.0,1595250.0,0.1555257,7.7533827,225,0
amatitlan,2025-04-28,757650.0,1595250.0,0.22816643,13.066138,225,1
amatitlan,2025-04-28,757950.0,1595250.0,0.22413303,10.645226,225,0
amatitlan,2025-04-28,758250.0,1595250.0,0.17406034,8.102961,225,0
amatitlan,2025-04-28,758550.0,1595250.0,0.20851973,11.854798,225,0
amatitlan,2025-04-28,758850.0,1595250.0,0.22873579,12.13998,225,1
amatitlan,2025-04-28,759150.0,1595250.0,0.16451776,8.715232,225,0
amatitlan,2025-04-28,759450.0,1595250.0,0.25398913,14.334379,225,1
amatitlan,2025-04-28,759750.0,1595250.0,0.28871396,16.548922,225,1
amatitlan,2025-04-28,760050.0,1595250.0,0.28358436,16.79002,225,1
amatitlan,2025-04-28,760350.0,1595250.0,0.3582412,27.364563,225,1
amatitlan,2025-04-28,760650.0,1595250.0,0.29544514,18.974566,225,1
amatitlan,2025-04-28,760950.0,1595250.0,0.08302436,5.3219833,225,0
amatitlan,2025-04-28,761250.0,1595250.0,0.21816587,11.520531,225,0
amatitlan,2025-04-28,761550.0,1595250.0,0.26902956,14.357765,225,1
amatitlan,2025-04-28,761850.0,1595250.0,0.22261211,10.638563,225,0
amatitlan,2025-04-28,762150.0,1595250.0,0.23367791,10.49694,225,0
amatitlan,2025-04-28,762450.0,1595250.0,0.2099017,9.206838,225,0
amatitlan,2025-04-28,762750.0,1595250.0,0.2131046,9.337686,225,0
amatitlan,2025-04-28,763050.0,1595250.0,0.21608692,9.492019,225,0
amatitlan,2025-04-28,763350.0,1595250.0,0.20982286,9.425845,225,0
amatitlan,2025-04-28,763650.0,1595250.0,0.18289508,7.9208694,225,0
amatitlan,2025-04-28,763950.0,1595250.0,0.13532922,6.581009,225,0
amatitlan,2025-04-28,764250.0,1595250.0,0.17487493,8.098355,225,0
amatitlan,2025-04-28,764550.0,1595250.0,0.1947984,8.444491,225,0
amatitlan,2025-04-28,764850.0,1595250.0,0.23190741,11.825918,225,0
amatitlan,2025-04-28,765150.0,1595250.0,0.24426568,11.6111965,225,0
amatitlan,2025-04-28,765450.0,1595250.0,0.29624423,17.353077,225,1
amatitlan,2025-04-28,765750.0,1595250.0,0.29557234,17.352232,225,1
amatitlan,2025-04-28,766050.0,1595250.0,0.2911995,16.490341,225,1
amatitlan,2025-04-28,766350.0,1595250.0,0.2847085,15.988782,225,1
amatitlan,2025-04-28,766650.0,1595250.0,0.27837956,14.23763,225,1
amatitlan,2025-04-28,766950.0,1595250.0,0.24888448,12.061522,225,1
amatitlan,2025-04-28,767250.0,1595250.0,0.2340869,11.436651,225,0
amatitlan,2025-04-28,767550.0,1595250.0,0.2372008,10.158773,225,0
amatitlan,2025-04-28,767850.0,1595250.0,0.27144113,14.28254,225,1
amatitlan,2025-04-28,768150.0,1595250.0,0.27264616,13.933465,135,1
amatitlan,2025-04-28,754650.0,1595550.0,0.21184659,9.808268,180,0
amatitlan,2025-04-28,754950.0,1595550.0,0.1434315,7.514365,225,0
amatitlan,2025-04-28,755250.0,1595550.0,0.1126199,6.683329,225,0
amatitlan,2025-04-28,755550.0,1595550.0,0.14849672,6.9812417,225,0
amatitlan,2025-04-28,755850.0,1595550.0,0.18412757,8.246254,225,0
amatitlan,2025-04-28,756150.0,1595550.0,0.1800381,8.268085,225,0
amatitlan,2025-04-28,756450.0,1595550.0,0.22748455,10.780221,225,0
amatitlan,2025-04-28,756750.0,1595550.0,0.22588041,10.223175,225,0
amatitlan,2025-04-28,757050.0,1595550.0,0.23123,11.031834,225,0
amatitlan,2025-04-28,757350.0,1595550.0,0.20845708,9.311702,225,0
amatitlan,2025-04-28,757650.0,1595550.0,0.23476958,11.278752,225,0
amatitlan,2025-04-28,757950.0,1595550.0,0.23386024,11.159962,225,0
amatitlan,2025-04-28,758250.0,1595550.0,0.17702025,8.817179,225,0
amatitlan,2025-04-28,758550.0,1595550.0,0.19678815,9.917786,225,0
